Timestamp,Bạn đang là sinh viên năm...,Trường Đại học của bạn là:,Bạn dành bao nhiêu thời gian trong ngày để tự học/làm việc?,"Theo bạn, bạn sẽ đánh giá khối lượng công việc/học tập của bản thân mình như thế nào?",Bạn thường giải quyết các công việc/ học tập của mình thế nào?,Bạn có hay đánh giá về mức độ quan trọng/ cần thiết/ nguy cấp của các công việc (tasks) đang thực hiện không?,Đánh giá khả năng tự sắp xếp công việc của bản thân trên thang điểm từ 1-10:,Bạn có hay dùng các app nhắc nhở/thông báo để hỗ trợ trong công việc không?,Bạn có thường xuyên lập To-Do List (Danh sách công việc cần làm) không?,Kết quả làm việc của bạn thường đáp ứng được bao nhiêu % so với mục tiêu ban đầu?
2/22/2021 19:55:38,1,,4-5 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Không thường xuyên,7,Thỉnh thoảng,3,4
2/22/2021 19:56:48,3,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Thường xuyên,6,Không bao giờ,3,4
2/22/2021 19:59:50,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Không thường xuyên,8,Thỉnh thoảng,3,4
2/22/2021 20:00:48,3,,4-5 tiếng,Khối lượng công việc/học tập quá ít với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Thỉnh thoảng,4,3
2/22/2021 20:01:32,3,,4-5 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Luôn luôn,7,Thỉnh thoảng,3,3
2/22/2021 20:03:21,4,,Nhiều hơn,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Thỉnh thoảng,2,4
2/22/2021 20:05:01,1,,2-3 tiếng,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,9,Không bao giờ,1,4
2/22/2021 20:06:12,1,,4-5 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Thỉnh thoảng,3,4
2/22/2021 20:07:32,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Không thường xuyên,6,Thỉnh thoảng,4,3
2/22/2021 20:07:35,1,,3-4 tiếng,Khối lượng công việc/học tập quá ít với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Luôn luôn,8,Thỉnh thoảng,1,4
2/22/2021 20:07:49,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Không đánh giá,10,Không bao giờ,1,5
2/22/2021 20:08:01,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Tuỳ hứng thú với môn/việc đó, nếu thích sẽ làm ngay và đều đặn, ko thích sẽ trì trệ hơn và ko đều đặn ạ",Luôn luôn,7,Không bao giờ,2,4
2/22/2021 20:10:24,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Thường xuyên,8,Thỉnh thoảng,4,4
2/22/2021 20:10:57,3,,3-4 tiếng,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Thỉnh thoảng,3,4
2/22/2021 20:11:21,1,,Nhiều hơn,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,5,Thỉnh thoảng,2,4
2/22/2021 20:12:16,4,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Thường xuyên,6,Thỉnh thoảng,2,4
2/22/2021 20:12:19,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Không bao giờ,4,4
2/22/2021 20:12:37,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Không thường xuyên,5,Thỉnh thoảng,1,4
2/22/2021 20:13:02,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Thỉnh thoảng,4,3
2/22/2021 20:13:12,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Không thường xuyên,5,Thỉnh thoảng,2,4
2/22/2021 20:14:03,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Không bao giờ,4,4
2/22/2021 20:14:50,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Không đánh giá,4,Không bao giờ,2,4
2/22/2021 20:15:52,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Luôn luôn,10,Không bao giờ,2,4
2/22/2021 20:17:34,1,,Nhiều hơn,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Luôn luôn,8,Không bao giờ,4,4
2/22/2021 20:20:21,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Luôn luôn,7,Thỉnh thoảng,2,4
2/22/2021 20:22:31,3,,5-6 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Không thường xuyên,7,Không bao giờ,2,4
2/22/2021 20:23:06,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Thường xuyên,7,Thỉnh thoảng,1,3
2/22/2021 20:25:53,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Luôn luôn,9,Thường xuyên,2,4
2/22/2021 20:26:54,1,,4-5 tiếng,Khối lượng công việc/học tập của mình quá lớn,Mình thường bắt đầu vào gần deadline,Luôn luôn,7,Thỉnh thoảng,3,4
2/22/2021 20:27:22,3,,4-5 tiếng,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Thường xuyên,7,Thỉnh thoảng,2,3
2/22/2021 20:28:47,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Luôn luôn,8,Không bao giờ,1,4
2/22/2021 20:30:06,1,,2-3 tiếng,Khối lượng công việc/học tập của mình quá lớn,Mình thường bắt đầu vào gần deadline,Không đánh giá,6,Không bao giờ,1,4
2/22/2021 20:30:07,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Thỉnh thoảng,4,3
2/22/2021 20:34:04,1,,2-3 tiếng,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Luôn luôn,8,Không bao giờ,1,4
2/22/2021 20:35:39,3,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Thường xuyên,8,Không bao giờ,3,4
2/22/2021 20:37:31,3,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,8,Không bao giờ,3,4
2/22/2021 20:37:48,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Không thường xuyên,6,Thỉnh thoảng,3,3
2/22/2021 20:38:59,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Không đánh giá,4,Không bao giờ,1,3
2/22/2021 20:40:21,3,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Luôn luôn,7,Không bao giờ,1,3
2/22/2021 20:41:36,1,,3-4 tiếng,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,8,Không bao giờ,1,4
2/22/2021 20:42:22,3,,Nhiều hơn,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Luôn luôn,9,Thường xuyên,5,4
2/22/2021 20:42:42,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,8,Thường xuyên,5,4
2/22/2021 20:44:26,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,5,Không bao giờ,1,3
2/22/2021 20:48:00,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Không thường xuyên,5,Không bao giờ,3,3
2/22/2021 20:48:24,1,,5-6 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Thường xuyên,9,Thỉnh thoảng,4,4
2/22/2021 20:51:31,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Luôn luôn,8,Không bao giờ,4,5
2/22/2021 20:52:24,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Luôn luôn,7,Thường xuyên,2,4
2/22/2021 20:52:40,3,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Không thường xuyên,3,Thỉnh thoảng,4,2
2/22/2021 20:57:03,1,,Nhiều hơn,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Thường xuyên,7,Thỉnh thoảng,3,4
2/22/2021 20:58:46,4,,Nhiều hơn,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,9,Không bao giờ,4,4
2/22/2021 21:00:46,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Không đánh giá,4,Không bao giờ,1,1
2/22/2021 21:01:18,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Thường xuyên,6,Thỉnh thoảng,3,3
2/22/2021 21:08:18,3,,2-3 tiếng,Khối lượng công việc/học tập quá ít với mình,Mình thường bắt đầu vào gần deadline,Luôn luôn,10,Không bao giờ,1,5
2/22/2021 21:09:55,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Không thường xuyên,5,Thỉnh thoảng,2,3
2/22/2021 21:12:01,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,7,Thỉnh thoảng,5,4
2/22/2021 21:25:41,1,,2-3 tiếng,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,1,Không bao giờ,1,3
2/22/2021 21:25:53,1,,4-5 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,6,Thỉnh thoảng,5,3
2/22/2021 21:28:24,1,,2-3 tiếng,Khối lượng công việc/học tập quá ít với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,6,Thỉnh thoảng,4,2
2/22/2021 21:29:29,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Luôn luôn,8,Thường xuyên,4,4
2/22/2021 21:33:13,1,,4-5 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Không thường xuyên,8,Thỉnh thoảng,5,4
2/22/2021 21:39:24,1,,Nhiều hơn,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Thường xuyên,10,Thỉnh thoảng,5,4
2/22/2021 21:39:51,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Luôn luôn,4,Không bao giờ,1,5
2/22/2021 21:43:53,2,,4-5 tiếng,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,6,Không bao giờ,4,4
2/22/2021 21:45:10,1,,2-3 tiếng,Khối lượng công việc/học tập quá ít với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Không thường xuyên,7,Thỉnh thoảng,3,4
2/22/2021 22:02:50,1,,4-5 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Không thường xuyên,6,Thỉnh thoảng,2,3
2/22/2021 22:10:42,1,Bách Khoa tp HCM,2-3 tiếng,Khối lượng công việc/học tập quá ít với mình,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Luôn luôn,7,Không bao giờ,2,3
2/22/2021 22:18:25,3,Đại học Quốc tế,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Thường xuyên,5,Không bao giờ,3,4
2/22/2021 22:19:25,1,Bách Khoa TPHCM,4-5 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,4,Thỉnh thoảng,1,3
2/22/2021 22:24:51,1,Công nghiệp 4,2-3 tiếng,Khối lượng công việc/học tập quá ít với mình,Mình thường bắt đầu vào gần deadline,Không thường xuyên,7,Không bao giờ,3,4
2/22/2021 22:45:32,1,Kinh tế quốc dân,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Thường xuyên,5,Không bao giờ,1,3
2/22/2021 22:47:36,1,Đại học Bách Khoa,5-6 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,6,Thỉnh thoảng,2,4
2/22/2021 22:56:29,1,British University Vietnam,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Luôn luôn,7,Thường xuyên,5,4
2/22/2021 23:28:41,3,ĐH Luật TP. HCM,5-6 tiếng,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,6,Thỉnh thoảng,5,3
2/22/2021 23:51:33,1,Trường Đại học Bách Khoa,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Không đánh giá,5,Không bao giờ,1,2
2/23/2021 0:01:11,1,Thăng Long,5-6 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,7,Không bao giờ,3,3
2/23/2021 0:30:11,1,British University Vietnam,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Luôn luôn,7,Thường xuyên,5,4
2/23/2021 6:56:41,1,University of Manitoba,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Không thường xuyên,10,Không bao giờ,5,4
2/23/2021 9:26:14,1,HCMUT,4-5 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Thường xuyên,8,Thường xuyên,4,5
2/23/2021 12:13:37,3,ĐH Bách Khoa - ĐHQG TP.HCM,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Thường xuyên,9,Không bao giờ,2,4
2/23/2021 13:39:11,3,ĐH Bách Khoa,2-3 tiếng,Khối lượng công việc/học tập quá ít với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,7,Không bao giờ,2,4
2/23/2021 16:37:12,1,ĐH Bách Khoa Hà Nội,3-4 tiếng,Khối lượng công việc/học tập quá ít với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Luôn luôn,10,Không bao giờ,3,4
2/23/2021 17:53:15,1,NEU,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,7,Thường xuyên,5,4
2/23/2021 20:00:36,1,Bách Khoa TPHCM,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,theo nguồn cảm hứng,Không thường xuyên,4,Thỉnh thoảng,2,2
2/24/2021 11:44:40,1,Đại học Ngoại Thương,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tần suất đều đặn",Thường xuyên,6,Không bao giờ,1,3
2/24/2021 22:07:45,1,British University Vietnam,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Luôn luôn,7,Thường xuyên,5,4